speed_mean,speed_std,direction_mean,direction_std,acceleration_mean,acceleration_std,risk_category,timestamp,anomaly_score,is_outlier
1.073779146911452,0.2147558293822904,6.048206319355254,0.5,838.8899585245719,251.6669875573716,critical_risk,2025-07-15T22:57:40.321639,-0.6687,True
0.895375892250173,0.1790751784500346,3.367484108472773,0.5,727.9478798781895,218.38436396345685,critical_risk,2025-07-15T22:59:36.188502,-0.6718,True
0.895375892250173,0.1790751784500346,3.367484108472773,0.5,727.9478798781895,218.38436396345685,critical_risk,2025-07-15T22:59:36.225460,-0.6718,True
1.015555493280392,0.2031110986560783,3.24328150535287,0.5,1046.9644260622597,314.0893278186779,critical_risk,2025-07-15T22:59:36.932072,-0.6572,True
1.015555493280392,0.2031110986560783,3.24328150535287,0.5,1046.9644260622597,314.0893278186779,critical_risk,2025-07-15T22:59:37.074559,-0.6572,True
1.2525204386568116,0.2505040877313623,3.313893164809054,0.5,1204.3465756315495,361.3039726894648,critical_risk,2025-07-15T22:59:38.846656,-0.6305,True
1.2525204386568116,0.2505040877313623,3.313893164809054,0.5,1204.3465756315495,361.3039726894648,critical_risk,2025-07-15T22:59:38.888119,-0.6305,True
1.4592335234897305,0.2918467046979461,3.267336575391901,0.5,1430.62110146052,429.186330438156,critical_risk,2025-07-15T22:59:39.549984,-0.6369,True
1.4592335234897305,0.2918467046979461,3.267336575391901,0.5,1430.62110146052,429.186330438156,critical_risk,2025-07-15T22:59:39.603369,-0.6369,True
1.3051771120259397,0.2610354224051879,3.239165379408323,0.5,1345.5434144597316,403.66302433791947,critical_risk,2025-07-15T22:59:43.092746,-0.6209,True
1.3051771120259397,0.2610354224051879,3.239165379408323,0.5,1345.5434144597316,403.66302433791947,critical_risk,2025-07-15T22:59:43.120721,-0.6209,True
1.519115763984522,0.3038231527969044,3.206944447171419,0.5,1808.4711476006207,542.5413442801864,high_risk,2025-07-15T22:59:43.812710,-0.5746,False
1.519115763984522,0.3038231527969044,3.206944447171419,0.5,1808.4711476006207,542.5413442801864,high_risk,2025-07-15T22:59:43.841828,-0.5746,False
1.1073245522689452,0.221464910453789,0.1192360668059438,0.5,893.0036711846333,267.90110135539,critical_risk,2025-07-15T22:59:44.402093,-0.6531,True
1.1073245522689452,0.221464910453789,0.1192360668059438,0.5,893.0036711846333,267.90110135539,critical_risk,2025-07-15T22:59:44.437039,-0.6531,True
1.1577286541284135,0.2315457308256827,3.649655500624169,0.5,798.4335545713199,239.53006637139595,critical_risk,2025-07-15T22:59:48.736878,-0.641,True
1.1577286541284135,0.2315457308256827,3.649655500624169,0.5,798.4335545713199,239.53006637139595,critical_risk,2025-07-15T22:59:48.769579,-0.641,True
0.9429427221784268,0.1885885444356853,6.269718160337009,0.5,898.0406877889778,269.4122063366933,critical_risk,2025-07-15T22:59:49.509964,-0.6718,True
0.9429427221784268,0.1885885444356853,6.269718160337009,0.5,898.0406877889778,269.4122063366933,critical_risk,2025-07-15T22:59:49.538669,-0.6718,True
1.2513595062455334,0.2502719012491067,3.3062601394884843,0.5,1375.1203365335532,412.53610096006594,critical_risk,2025-07-15T22:59:51.687053,-0.6305,True
1.2513595062455334,0.2502719012491067,3.3062601394884843,0.5,1375.1203365335532,412.53610096006594,critical_risk,2025-07-15T22:59:52.091368,-0.6305,True
1.2513595062455334,0.2502719012491067,3.3062601394884843,0.5,1375.1203365335532,412.53610096006594,critical_risk,2025-07-15T22:59:52.128434,-0.6305,True
1.2513595062455334,0.2502719012491067,3.3062601394884843,0.5,1375.1203365335532,412.53610096006594,critical_risk,2025-07-15T22:59:52.184094,-0.6305,True
1.2513595062455334,0.2502719012491067,3.3062601394884843,0.5,1375.1203365335532,412.53610096006594,critical_risk,2025-07-15T22:59:55.432466,-0.6305,True
1.2513595062455334,0.2502719012491067,3.3062601394884843,0.5,1375.1203365335532,412.53610096006594,critical_risk,2025-07-15T22:59:56.845564,-0.6305,True
1.2513595062455334,0.2502719012491067,3.3062601394884843,0.5,1375.1203365335532,412.53610096006594,critical_risk,2025-07-15T22:59:57.408417,-0.6305,True
1.2513595062455334,0.2502719012491067,3.3062601394884843,0.5,1375.1203365335532,412.53610096006594,critical_risk,2025-07-15T22:59:58.014051,-0.6305,True
1.2513595062455334,0.2502719012491067,3.3062601394884843,0.5,1375.1203365335532,412.53610096006594,critical_risk,2025-07-15T22:59:58.626357,-0.6305,True
1.2513595062455334,0.2502719012491067,3.3062601394884843,0.5,1375.1203365335532,412.53610096006594,critical_risk,2025-07-15T22:59:58.671424,-0.6305,True
1.081614066061218,0.2163228132122436,3.237274768690328,0.5,1081.614066061218,324.4842198183654,critical_risk,2025-07-15T22:59:59.493357,-0.6531,True
1.081614066061218,0.2163228132122436,3.237274768690328,0.5,1081.614066061218,324.4842198183654,critical_risk,2025-07-15T22:59:59.528426,-0.6531,True
1.1030418463775065,0.2206083692755013,3.2650221544502664,0.5,1361.7800572561807,408.5340171768542,critical_risk,2025-07-15T23:00:16.034086,-0.648,True
1.1030418463775065,0.2206083692755013,3.2650221544502664,0.5,1361.7800572561807,408.5340171768542,critical_risk,2025-07-15T23:00:16.069083,-0.648,True
1.146147829848722,0.2292295659697444,3.2459058402198417,0.5,1414.9973208008914,424.4991962402674,critical_risk,2025-07-15T23:00:18.051677,-0.6224,True
1.146147829848722,0.2292295659697444,3.2459058402198417,0.5,1414.9973208008914,424.4991962402674,critical_risk,2025-07-15T23:00:19.604998,-0.6224,True
